model_id,hp,weight,engine_cap,seats,length,width,height,trans_5_manual,trans_5_manual_4_auto,trans_5_manual_6_auto,trans_5_manual_cvt,trans_6_dct,trans_6_dct_5_manual,trans_6_dct_6_manual,trans_6_dct_7_dct,trans_6_auto,trans_6_auto_7_dct,trans_6_auto_8_auto,trans_6_manual,trans_6_manual_6_dct,trans_6_manual_6_auto,trans_6_manual_7_dct,trans_6_manual_8_auto,trans_6_manual_cvt,trans_7_dct,trans_7_dct_8_auto,trans_8_auto,trans_9_auto,trans_cvt,trans_cvt_5_manual,trans_cvt_6_dct,trans_cvt_6_manual,trans_cvt_7_dct,trans_reducer,fuel_petrol_92,fuel_petrol_95,fuel_petrol_diesel,fuel_hybrid_95,fuel_hybrid,fuel_diesel_petrol,fuel_electric,body_offroad,body_crossover,body_liftback,body_minivan,body_pickup,body_sedan,body_universal,body_hatchback,drive_awd,drive_fwd,drive_fwd_awd,drive_rwd,drive_rwd_awd,Sentiment_Score,visual_vector,offroad_capability,msrp,brand_status,tco_fuel,vat_included,warranty,stock_status
BAIC_BJ40,218,2090,2.0,5,4645,1925,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.33,[0.34630271 0.4047606  0.49152164 ... 0.58609136 0.16793811 0.31448613],1,4338500.0,2,785652.1739130435,1,1,9
BAIC_U5_Plus,105,1255,1.5,5,4660,1820,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.66,[0.2976177  0.38279215 0.16769254 ... 0.17885955 0.25188109 0.46071884],0,2219000.0,1,500923.9130434783,1,1,10
BAIC_X35,112,1340,1.5,5,4325,1830,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.66,[0.41359649 0.3248209  0.2687993  ... 0.363521   0.31740391 0.28746657],0,2303200.0,1,524945.652173913,1,1,10
BAIC_X55,177,1550,1.5,5,4620,1886,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6,[0.58354157 0.4594332  0.31879342 ... 0.18603426 0.82027137 0.32041022],0,3711500.0,2,584293.4782608696,1,1,14
Changan_CS35,113,1270,1.6,5,4170,1810,1670,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.65,[0.11626545 0.30819854 0.39124161 ... 0.30596033 0.02723651 0.27652088],0,2873500.0,2,514913.04347826086,1,1,45
Changan_CS35_Plus,150,1430,1.4,5,4330,1825,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.65,[0.16471187 0.3854471  0.23279019 ... 0.66688887 0.12303267 0.24704413],0,2686000.0,1,540630.4347826086,1,1,55
Changan_CS55,143,1535,1.5,5,4500,1855,1690,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.62,[0.39462798 0.58130387 0.56059967 ... 0.26185874 0.21556749 0.41204766],0,3299750.0,2,580054.347826087,1,1,44
Changan_CS55_Plus,181,1535,1.5,5,4515,1865,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.62,[0.3782416  0.42494847 0.42124596 ... 0.28997857 0.26269735 0.5215422 ],0,3755750.0,2,580054.347826087,1,1,57
Changan_CS55_Plus_(UNI_S),181,1535,1.5,5,4515,1865,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.62,[0.31104158 0.53375403 0.53400822 ... 0.17840349 0.28402802 0.47189843],0,3755750.0,2,580054.347826087,1,1,47
Changan_CS95,220,2120,2.0,7,4949,1930,1905,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,[0.11391582 0.08389567 0.66632257 ... 0.1857926  0.07441328 0.36587591],0,4370000.0,2,794130.4347826086,1,1,54
Changan_CS95_Plus,233,2150,2.0,7,4949,1940,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.5,[0.178578   0.37689444 0.67510408 ... 0.13706027 0.16950725 0.29615864],0,4533500.0,2,802608.695652174,1,1,64
Changan_UNI_K,226,2005,2.0,5,4865,1948,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.36,[0.1866832  0.35880721 0.44918311 ... 0.21884839 0.19561722 0.61363709],0,4413250.0,2,761630.4347826086,1,1,58
Changan_UNI_T,167,1465,1.5,5,4515,1870,1565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.68,[0.20801663 0.22183488 0.49080584 ... 0.19845045 0.46281216 0.72564093],0,3570250.0,2,560271.7391304348,1,1,45
Changan_UNI_V,181,1400,1.5,5,4680,1838,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.64,[0.13368037 0.29231746 0.36353697 ... 0.16851829 0.08868526 0.56564283],0,3722000.0,2,541902.1739130435,1,1,70
Chery_Arrizo_8,186,1538,1.6,5,4757,1832,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.52,[0.41960444 0.40865643 0.66985771 ... 0.10480873 0.2828997  0.60189193],0,3816500.0,2,590652.1739130435,1,1,41
Chery_Tiggo_4,113,1364,1.5,5,4318,1831,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.62,[0.34704599 0.18876754 0.63866119 ... 0.23931711 0.0820944  0.46953158],0,2897000.0,2,531728.2608695652,1,1,38
Chery_Tiggo_4_Pro,147,1380,1.5,5,4318,1831,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.62,[0.21642611 0.28878281 0.35977206 ... 0.33304472 0.26365588 0.66695948],0,3309000.0,2,536250.0,1,1,64
Chery_Tiggo_7,113,1440,1.5,5,4500,1837,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.58,[0.49056966 0.35266624 0.34943792 ... 0.46553281 0.55640241 0.41997286],0,2916000.0,2,553206.5217391304,1,1,51
Chery_Tiggo_7L,152,1540,1.5,5,4500,1842,1705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.58,[0.51050023 0.18013905 0.37824774 ... 0.24912502 0.21446075 0.32361037],0,3409000.0,2,581467.3913043478,1,1,47
Chery_Tiggo_7_Pro,150,1550,1.6,5,4500,1842,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.58,[0.35284102 1.33469629 0.36790941 ... 0.0295516  0.35642197 1.05508709],0,3387500.0,2,594043.4782608695,1,1,68
Chery_Tiggo_7_ProMax,147,1540,1.5,5,4500,1842,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.58,[0.43492988 0.86559725 0.29660903 ... 0.07082344 0.18524984 0.52648398],0,3349000.0,2,581467.3913043478,1,1,51
Chery_Tiggo_8,147,1630,1.5,7,4700,1860,1705,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.54,[0.18052682 0.30730414 0.46529572 ... 0.30692295 0.37454513 0.70787859],0,3371500.0,2,606902.1739130435,1,1,69
Chery_Tiggo_8_Pro,186,1640,1.6,7,4722,1860,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.54,[0.18413353 0.67182815 0.47203797 ... 0.11190817 0.5606848  0.89319873],0,3842000.0,2,619478.2608695652,1,1,49
Chery_Tiggo_8_ProMax,197,1820,2.0,7,4722,1860,1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.54,[0.38058329 0.58419156 0.37543001 ... 0.09237825 0.60127106 0.79836178],0,5626600.0,3,709347.8260869565,1,1,50
Evolute_I_JOY___Dongfeng_Fengon_E3,163,1555,0.0,5,4680,1720,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,[0.53281736 0.47806768 0.39533067 ... 0.36711016 0.49501257 0.1502386 ],0,4962650.0,2,109864.13043478262,1,1,13
Evolute_I_PRO___Dongfeng_Aeolus_E70,150,2025,0.0,5,4600,1860,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,[0.27415549 0.37982648 0.34779552 ... 0.49350268 0.14674894 0.45362695],0,3926999.9999999995,1,143070.65217391305,1,1,13
Evolute_I_SKY___Dongfeng_Forthing_T5,204,1765,0.0,5,4385,1850,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.5,[0.38850161 0.38717422 0.24167943 ... 0.2189067  0.29195833 0.45587928],0,5724950.0,2,124701.08695652174,1,1,10
